_time,_value
2023-03-10T07:21:05.817705898Z,0.8444
2023-03-10T07:21:06.926586457Z,0.8168
2023-03-10T07:21:08.05816408Z,0.8205
2023-03-10T07:21:09.156018362Z,0.7188
2023-03-10T07:21:10.271462257Z,0.7276
2023-03-10T07:21:11.391697509Z,0.7526
2023-03-10T07:21:12.501765839Z,0.7362
2023-03-10T07:21:13.616999131Z,0.7615
2023-03-10T07:21:14.731875619Z,0.7186
2023-03-10T07:21:15.850927286Z,0.7305
2023-03-10T07:21:16.963071619Z,0.7426
2023-03-10T07:21:18.076727271Z,0.8534
2023-03-10T07:21:19.197480312Z,0.8492
2023-03-10T07:21:20.308185327Z,0.8099
2023-03-10T07:21:21.421940681Z,0.8014
2023-03-10T07:21:22.550663521Z,0.8183
2023-03-10T07:21:23.651476812Z,0.8055
2023-03-10T07:21:24.766535178Z,0.8171
2023-03-10T07:21:25.881356681Z,0.8292
2023-03-10T07:21:27.002434155Z,0.8239
2023-03-10T07:21:28.114278324Z,0.8636
2023-03-10T07:21:29.226403997Z,0.8578
2023-03-10T07:21:30.341785206Z,0.8355
2023-03-10T07:21:31.459276439Z,0.8164
2023-03-10T07:21:32.571954498Z,0.8174
2023-03-10T07:21:33.687078592Z,0.8086
2023-03-10T07:21:34.803507302Z,0.8111
2023-03-10T07:21:35.932561867Z,0.8305
2023-03-10T07:21:37.03372939Z,0.8243
2023-03-10T07:21:38.148752083Z,0.8212
2023-03-10T07:21:39.262072555Z,0.8222
2023-03-10T07:21:40.377218812Z,0.8277
2023-03-10T07:21:41.492468034Z,0.7988
2023-03-10T07:21:42.606956647Z,0.7946
2023-03-10T07:21:43.72634322Z,0.7857
2023-03-10T07:21:44.837108387Z,0.7767
2023-03-10T07:21:45.951827303Z,0.793
2023-03-10T07:21:47.07158478Z,0.791
2023-03-10T07:21:48.183735786Z,0.7826
2023-03-10T07:21:49.302962625Z,0.7849
2023-03-10T07:21:50.411434733Z,0.7804
2023-03-10T07:21:51.529357656Z,0.783
2023-03-10T07:21:52.643911538Z,0.7914
2023-03-10T07:21:53.760591146Z,0.7841
2023-03-10T07:21:54.878681072Z,0.7805
2023-03-10T07:21:55.987997971Z,0.8079
2023-03-10T07:21:57.10273842Z,0.7885
2023-03-10T07:21:58.229279012Z,0.783
2023-03-10T07:21:59.34236724Z,0.781
2023-03-10T07:22:00.449185093Z,0.7795
2023-03-10T07:22:01.566450272Z,0.7888
2023-03-10T07:22:02.680667114Z,0.7863
2023-03-10T07:22:03.795367062Z,0.7776
2023-03-10T07:22:04.910558407Z,0.8004
2023-03-10T07:22:06.027876482Z,0.8249
2023-03-10T07:22:07.156616897Z,0.8161
2023-03-10T07:22:08.25339572Z,0.8161
2023-03-10T07:22:09.376329764Z,0.814
2023-03-10T07:22:10.483451314Z,0.8097
2023-03-10T07:22:11.59837516Z,0.8584
2023-03-10T07:22:12.712873901Z,0.8189
2023-03-10T07:22:13.83491243Z,0.8254
2023-03-10T07:22:14.943149285Z,0.8171
2023-03-10T07:22:16.058083224Z,0.8286
2023-03-10T07:22:17.174681684Z,0.8229
2023-03-10T07:22:18.289696724Z,0.834
2023-03-10T07:22:19.403009343Z,0.7906
2023-03-10T07:22:20.518286069Z,0.8188
2023-03-10T07:22:21.633983445Z,0.8154
2023-03-10T07:22:22.748413405Z,0.8362
2023-03-10T07:22:23.868244332Z,0.817
2023-03-10T07:22:24.978971547Z,0.8234
2023-03-10T07:22:26.095699935Z,0.8173
2023-03-10T07:22:27.215195558Z,0.8156
2023-03-10T07:22:28.323793157Z,0.8187
2023-03-10T07:22:29.438934353Z,0.8263
2023-03-10T07:22:30.554282252Z,0.8132
2023-03-10T07:22:31.67615603Z,0.815
2023-03-10T07:22:32.787031474Z,0.8634
2023-03-10T07:22:33.900345248Z,0.813
2023-03-10T07:22:35.018937086Z,0.7761
2023-03-10T07:22:36.129309114Z,0.787
2023-03-10T07:22:37.244709272Z,0.7849
2023-03-10T07:22:38.36348487Z,0.8231
2023-03-10T07:22:39.474305972Z,0.7758
2023-03-10T07:22:40.589213723Z,0.7937
2023-03-10T07:22:41.706141699Z,0.7783
2023-03-10T07:22:42.821497656Z,0.7814
2023-03-10T07:22:43.935069496Z,0.7877
2023-03-10T07:22:45.050030442Z,0.7866
2023-03-10T07:22:46.164817187Z,0.7738
2023-03-10T07:22:47.28192996Z,0.8183
2023-03-10T07:22:48.397804517Z,0.8515
2023-03-10T07:22:49.511589049Z,0.8343
2023-03-10T07:22:50.624698872Z,0.8118
2023-03-10T07:22:51.747307014Z,0.8297
2023-03-10T07:22:52.865707474Z,0.8074
2023-03-10T07:22:53.972616771Z,0.8136
2023-03-10T07:22:55.083351015Z,0.8324
2023-03-10T07:22:56.194358263Z,0.856
2023-03-10T07:22:57.325308555Z,0.815
2023-03-10T07:22:58.426063877Z,0.8208
2023-03-10T07:22:59.545472727Z,0.8194
2023-03-10T07:23:00.656215162Z,0.8502
2023-03-10T07:23:01.776281059Z,0.8271
2023-03-10T07:23:02.88459251Z,0.8129
2023-03-10T07:23:03.999634844Z,0.7761
2023-03-10T07:23:05.114938382Z,0.7823
2023-03-10T07:23:06.229099206Z,0.7832
2023-03-10T07:23:07.344389143Z,0.8524
2023-03-10T07:23:08.460833311Z,0.8143
2023-03-10T07:23:09.575176758Z,0.8213
2023-03-10T07:23:10.691357728Z,0.8105
2023-03-10T07:23:11.806680788Z,0.7781
2023-03-10T07:23:12.919890321Z,0.7852
2023-03-10T07:23:14.03516278Z,0.7862
2023-03-10T07:23:15.150114335Z,0.7781
2023-03-10T07:23:16.266341303Z,0.7867
2023-03-10T07:23:17.384064083Z,0.7831
2023-03-10T07:23:18.495185082Z,0.8121
2023-03-10T07:23:19.609830325Z,0.7852
2023-03-10T07:23:20.727604806Z,0.7826
2023-03-10T07:23:21.847316611Z,0.7857
2023-03-10T07:23:22.965166093Z,0.7812
2023-03-10T07:23:24.0829295Z,0.8383
2023-03-10T07:23:25.187440547Z,0.8587
2023-03-10T07:23:26.302086721Z,0.8191
2023-03-10T07:23:27.415670281Z,0.8479
2023-03-10T07:23:28.530646359Z,0.8086
2023-03-10T07:23:29.645365934Z,0.8318
2023-03-10T07:23:30.760874818Z,0.8097
2023-03-10T07:23:31.876510504Z,0.7781
2023-03-10T07:23:32.99108052Z,0.7807
2023-03-10T07:23:34.106520024Z,0.7887
2023-03-10T07:23:35.221619023Z,0.7775
2023-03-10T07:23:36.342386391Z,0.8294
2023-03-10T07:23:37.459267812Z,0.8152
2023-03-10T07:23:38.566208012Z,0.8136
2023-03-10T07:23:39.682551326Z,0.8355
2023-03-10T07:23:40.811310195Z,0.8177
2023-03-10T07:23:41.924778578Z,0.8263
2023-03-10T07:23:43.036832644Z,0.8268
2023-03-10T07:23:44.14480106Z,0.803
2023-03-10T07:23:45.281542926Z,0.8266
2023-03-10T07:23:46.371949528Z,0.8177
2023-03-10T07:23:47.487112632Z,0.8141
2023-03-10T07:23:48.601926807Z,0.8154
2023-03-10T07:23:49.717148167Z,0.8147
2023-03-10T07:23:50.840124621Z,0.8116
2023-03-10T07:23:51.946664075Z,0.8533
2023-03-10T07:23:53.062208239Z,0.8633
2023-03-10T07:23:54.18733842Z,0.8386
2023-03-10T07:23:55.296493506Z,0.8593
2023-03-10T07:23:56.411337338Z,0.8183
2023-03-10T07:23:57.52191718Z,0.8129
2023-03-10T07:23:58.63805329Z,0.82
2023-03-10T07:23:59.75184397Z,0.811
2023-03-10T07:24:00.868404885Z,0.8712
2023-03-10T07:24:01.982847473Z,0.8627
2023-03-10T07:24:03.097042059Z,0.8411
2023-03-10T07:24:04.211724878Z,0.8709
2023-03-10T07:24:05.345057347Z,0.8239
2023-03-10T07:24:06.441531966Z,0.7985
2023-03-10T07:24:07.635205875Z,0.8308
2023-03-10T07:24:08.700112607Z,0.8142
2023-03-10T07:24:09.788066822Z,0.8154
2023-03-10T07:24:10.902723263Z,0.8592
2023-03-10T07:24:12.020129538Z,0.8108
2023-03-10T07:24:13.134989198Z,0.8136
2023-03-10T07:24:14.247176925Z,0.7341
2023-03-10T07:24:15.362262188Z,0.7258
2023-03-10T07:24:16.479131173Z,0.7266
2023-03-10T07:24:17.59379853Z,0.7254
2023-03-10T07:24:18.712047232Z,0.7417
2023-03-10T07:24:19.822298136Z,0.8178
2023-03-10T07:24:20.941359954Z,0.8127
2023-03-10T07:24:22.052281474Z,0.8115
2023-03-10T07:24:23.167193343Z,0.8133
2023-03-10T07:24:24.28196801Z,0.812
2023-03-10T07:24:25.416431917Z,0.812
2023-03-10T07:24:26.511991251Z,0.8143
2023-03-10T07:24:27.628812543Z,0.8144
2023-03-10T07:24:28.741947664Z,0.815
2023-03-10T07:24:29.856848092Z,0.816
2023-03-10T07:24:30.972410327Z,0.8581
2023-03-10T07:24:32.090078888Z,0.8637
2023-03-10T07:24:33.214499731Z,0.833
2023-03-10T07:24:34.319299936Z,0.8311
2023-03-10T07:24:35.450682364Z,0.7857
2023-03-10T07:24:36.547762298Z,0.7836
2023-03-10T07:24:37.675582936Z,0.7866
2023-03-10T07:24:38.77770556Z,0.7827
2023-03-10T07:24:39.89265284Z,0.7842
2023-03-10T07:24:41.010146452Z,0.7904
2023-03-10T07:24:42.134215744Z,0.7921
2023-03-10T07:24:43.238055989Z,0.797
2023-03-10T07:24:44.353443162Z,0.7852
2023-03-10T07:24:45.468414593Z,0.7789
2023-03-10T07:24:46.58643916Z,0.7885
2023-03-10T07:24:47.698492955Z,0.7861
2023-03-10T07:24:48.814901204Z,0.7816
2023-03-10T07:24:49.928181014Z,0.7872
2023-03-10T07:24:51.047258294Z,0.7774
2023-03-10T07:24:52.164252147Z,0.7879
2023-03-10T07:24:53.276330618Z,0.7826
2023-03-10T07:24:54.40254876Z,0.7799
2023-03-10T07:24:55.504147704Z,0.84
2023-03-10T07:24:56.619154511Z,0.807
2023-03-10T07:24:57.73683765Z,0.8235
2023-03-10T07:24:58.850735643Z,0.8177
2023-03-10T07:24:59.968220979Z,0.8131
2023-03-10T07:25:01.099934698Z,0.784
2023-03-10T07:25:02.193866252Z,0.7766
2023-03-10T07:25:03.311666292Z,0.7994
2023-03-10T07:25:04.423878266Z,0.785
2023-03-10T07:25:05.539933886Z,0.7811
2023-03-10T07:25:06.667449744Z,0.7821
2023-03-10T07:25:07.771470719Z,0.7885
2023-03-10T07:25:08.902227162Z,0.7876
2023-03-10T07:25:10.003646369Z,0.7824
2023-03-10T07:25:11.115852306Z,0.7888
2023-03-10T07:25:12.239487682Z,0.7893
2023-03-10T07:25:13.344038526Z,0.7777
2023-03-10T07:25:14.459576104Z,0.8035
2023-03-10T07:25:15.576430297Z,0.789
2023-03-10T07:25:16.689304068Z,0.7803
2023-03-10T07:25:17.804088485Z,0.7914
2023-03-10T07:25:18.997103251Z,0.7784
2023-03-10T07:25:20.034212127Z,0.7804
2023-03-10T07:25:21.18326536Z,0.7891
2023-03-10T07:25:22.275793807Z,0.7799
2023-03-10T07:25:23.379199487Z,0.7972
2023-03-10T07:25:24.49457981Z,0.7792
2023-03-10T07:25:25.609251722Z,0.7846
2023-03-10T07:25:26.724314439Z,0.7859
2023-03-10T07:25:27.839064652Z,0.7864
2023-03-10T07:25:28.955503485Z,0.7874
2023-03-10T07:25:30.069397088Z,0.7795
2023-03-10T07:25:31.187287739Z,0.7888
2023-03-10T07:25:32.299403422Z,0.783
2023-03-10T07:25:33.41466805Z,0.7825
2023-03-10T07:25:34.537469669Z,0.8155
2023-03-10T07:25:35.644875202Z,0.8178
2023-03-10T07:25:36.76011043Z,0.8148
2023-03-10T07:25:37.884256565Z,0.817
2023-03-10T07:25:38.989952477Z,0.8157
2023-03-10T07:25:40.123414326Z,0.8113
2023-03-10T07:25:41.227089019Z,0.8177
2023-03-10T07:25:42.335097765Z,0.8186
2023-03-10T07:25:43.449405287Z,0.8103
2023-03-10T07:25:44.56459792Z,0.814
2023-03-10T07:25:45.693996326Z,0.8548
2023-03-10T07:25:46.805405713Z,0.8088
2023-03-10T07:25:47.911170231Z,0.8176
2023-03-10T07:25:49.024531947Z,0.8075
2023-03-10T07:25:50.139382283Z,0.8199
2023-03-10T07:25:51.275742279Z,0.8601
2023-03-10T07:25:52.387077372Z,0.8048
2023-03-10T07:25:53.484995502Z,0.8171
2023-03-10T07:25:54.600257542Z,0.8058
2023-03-10T07:25:55.715375181Z,0.816
2023-03-10T07:25:56.830860594Z,0.8237
2023-03-10T07:25:57.946370253Z,0.8137
2023-03-10T07:25:59.060677597Z,0.8566
2023-03-10T07:26:00.177623874Z,0.8115
2023-03-10T07:26:01.296044068Z,0.8177
2023-03-10T07:26:02.408581691Z,0.8072
2023-03-10T07:26:03.519972099Z,0.868
2023-03-10T07:26:04.637139845Z,0.8601
2023-03-10T07:26:05.75795559Z,0.8348
2023-03-10T07:26:06.865006967Z,0.8215
2023-03-10T07:26:07.980143442Z,0.8092
2023-03-10T07:26:09.094932713Z,0.8199
2023-03-10T07:26:10.215406053Z,0.8148
2023-03-10T07:26:11.332629854Z,0.8367
2023-03-10T07:26:12.442230868Z,0.823
2023-03-10T07:26:13.555686348Z,0.8473
2023-03-10T07:26:14.670546046Z,0.8192
2023-03-10T07:26:15.785541645Z,0.8236
2023-03-10T07:26:16.900643645Z,0.818
2023-03-10T07:26:18.015810146Z,0.8389
2023-03-10T07:26:19.132087761Z,0.8082
2023-03-10T07:26:20.245410239Z,0.8626
2023-03-10T07:26:21.360292626Z,0.817
2023-03-10T07:26:22.576884753Z,0.8235
2023-03-10T07:26:23.652169157Z,0.8133
